iter	Passed	Remaining
0	3	3104
1	6	3403
2	10	3354
3	13	3269
4	15	3181
5	18	3133
6	22	3154
7	25	3133
8	28	3105
9	31	3122
10	34	3103
11	38	3210
12	42	3259
13	46	3277
14	50	3311
15	54	3340
16	57	3350
17	61	3377
18	64	3353
19	67	3323
20	72	3356
21	75	3339
22	78	3313
23	81	3313
24	84	3300
25	88	3301
26	91	3296
27	94	3281
28	97	3262
29	101	3268
30	105	3305
31	109	3316
32	112	3303
33	115	3293
34	119	3305
35	123	3295
36	126	3280
37	129	3278
38	132	3275
39	137	3289
40	141	3307
41	144	3295
42	147	3291
43	151	3285
44	154	3274
45	157	3269
46	160	3264
47	164	3258
48	167	3258
49	171	3252
50	174	3246
51	178	3249
52	181	3244
53	185	3255
54	189	3254
55	192	3247
56	196	3253
57	201	3271
58	204	3262
59	207	3258
60	211	3259
61	214	3248
62	219	3259
63	222	3256
64	226	3256
65	229	3247
66	232	3244
67	236	3248
68	240	3240
69	244	3245
70	250	3274
71	253	3272
72	259	3289
73	263	3301
74	267	3304
75	271	3300
76	274	3295
77	278	3286
78	281	3284
79	285	3280
80	289	3283
81	292	3276
82	296	3271
83	300	3272
84	303	3265
85	306	3259
86	310	3255
87	313	3251
88	317	3244
89	320	3237
90	323	3231
91	326	3221
92	329	3217
93	333	3216
94	336	3209
95	340	3204
96	343	3198
97	346	3193
98	350	3188
99	354	3186
100	357	3179
101	360	3173
102	364	3172
103	369	3186
104	373	3186
105	377	3182
106	382	3194
107	385	3185
108	388	3179
109	392	3174
110	396	3176
111	402	3190
112	405	3186
113	408	3177
114	413	3179
115	416	3172
116	419	3164
117	422	3160
118	426	3158
119	431	3162
120	434	3157
121	437	3150
122	441	3146
123	445	3145
124	448	3141
125	452	3140
126	455	3133
127	460	3137
128	463	3130
129	466	3124
130	470	3119
131	473	3112
132	476	3106
133	480	3103
134	483	3095
135	486	3089
136	489	3085
137	493	3082
138	496	3075
139	500	3073
140	503	3068
141	506	3061
142	510	3060
143	513	3054
144	517	3048
145	520	3046
146	524	3042
147	527	3035
148	531	3034
149	534	3029
150	539	3034
151	543	3030
152	546	3023
153	550	3022
154	553	3019
155	556	3013
156	560	3007
157	563	3003
158	566	2998
159	570	2994
160	573	2990
161	577	2986
162	580	2982
163	584	2978
164	587	2975
165	591	2972
166	594	2966
167	598	2962
168	601	2958
169	604	2952
170	609	2952
171	612	2948
172	615	2943
173	618	2936
174	621	2931
175	625	2926
176	629	2926
177	633	2924
178	636	2919
179	640	2917
180	643	2912
181	647	2909
182	650	2904
183	653	2899
184	657	2895
185	661	2893
186	664	2887
187	667	2883
188	671	2880
189	675	2879
190	679	2877
191	682	2872
192	686	2869
193	690	2868
194	693	2863
195	696	2858
196	700	2854
197	704	2853
198	707	2849
199	711	2844
200	714	2840
201	718	2836
202	723	2838
203	726	2834
204	729	2829
205	733	2825
206	737	2825
207	740	2821
208	744	2818
209	747	2813
210	751	2810
211	755	2807
212	758	2802
213	762	2801
214	765	2795
215	769	2793
216	773	2791
217	777	2788
218	780	2785
219	785	2785
220	789	2783
221	793	2781
222	797	2779
