iter	Logloss	Accuracy
0	0.6583467828	0.8947581872
1	0.6220042706	0.8931359627
2	0.592444125	0.8966845787
3	0.5656757818	0.8968873568
4	0.5335226592	0.8977998581
5	0.5079010773	0.8993206935
6	0.4871888259	0.8986109703
7	0.4656638474	0.9003345838
8	0.4473865759	0.9001318057
9	0.4322057113	0.8995234716
10	0.4177824705	0.8996248606
11	0.4029217521	0.9001318057
12	0.3897246739	0.9000304167
13	0.3786109017	0.9001318057
14	0.3695122671	0.9008415289
15	0.3603387788	0.9007401399
16	0.3516125721	0.9022609754
17	0.344275838	0.9016526412
18	0.3363312945	0.9019568083
19	0.3299861454	0.9019568083
20	0.3240121884	0.9020581973
21	0.3171384282	0.9020581973
22	0.3123113504	0.9013484741
23	0.3064067907	0.901145696
24	0.3001461612	0.901044307
25	0.2947200615	0.9015512522
26	0.2908093247	0.9018554192
27	0.2881435264	0.9019568083
28	0.2845466668	0.9018554192
29	0.2814440963	0.9017540302
30	0.2764105089	0.9019568083
31	0.2723555443	0.9029706986
32	0.2688415115	0.9032748657
33	0.2665009599	0.9032748657
34	0.2650162156	0.9030720876
35	0.2624081384	0.9035790327
36	0.260155651	0.9038831998
37	0.25853769	0.9037818108
38	0.256595275	0.9036804218
39	0.2555720143	0.9041873669
40	0.254105642	0.9038831998
41	0.2524433722	0.9040859779
42	0.2510482658	0.904288756
43	0.2494129507	0.9038831998
44	0.247922971	0.9036804218
45	0.2465750509	0.9037818108
46	0.2455281382	0.9039845889
47	0.2445221068	0.904390145
48	0.2436645164	0.9041873669
49	0.2427788157	0.9049984792
50	0.2418530287	0.9050998682
51	0.2408180337	0.904592923
52	0.2396643993	0.904592923
53	0.2391713239	0.9047957011
54	0.237957653	0.9049984792
55	0.2366683774	0.9053026463
56	0.2361652089	0.9061137585
57	0.2354802279	0.9066207036
58	0.2346501377	0.9066207036
59	0.234122805	0.9064179256
60	0.2329545844	0.9064179256
61	0.2325166217	0.9068234817
62	0.2321448747	0.9066207036
63	0.231454035	0.9071276488
64	0.2309252653	0.9075332049
65	0.2305771486	0.9076345939
66	0.2303041432	0.9076345939
67	0.2299199409	0.9075332049
68	0.2294715322	0.907837372
69	0.2288909348	0.907735983
70	0.2285256155	0.907938761
71	0.2276955446	0.9085470952
72	0.2274041372	0.9088512623
73	0.2269999228	0.9091554294
74	0.2265337213	0.9087498733
75	0.2260477005	0.9086484842
76	0.2257031945	0.9086484842
77	0.2253338767	0.9086484842
78	0.2248002322	0.9089526513
79	0.2245207475	0.9091554294
80	0.2241261936	0.9095609855
81	0.2237989889	0.9096623745
82	0.2234652194	0.9099665416
83	0.2227799328	0.9102707087
84	0.2225718504	0.9104734868
85	0.2223403927	0.9107776539
86	0.2220109099	0.9109804319
87	0.221606851	0.9109804319
88	0.2210696816	0.911284599
89	0.2207729233	0.911385988
90	0.2205130198	0.9118929332
91	0.2202972504	0.9115887661
92	0.2200688161	0.9118929332
93	0.2196941948	0.9117915442
94	0.2193627986	0.911284599
95	0.2191471501	0.9118929332
96	0.2189122733	0.9122984893
97	0.2186154986	0.9122984893
98	0.2182025947	0.9120957112
99	0.2178922613	0.9120957112
100	0.2176755279	0.9120957112
101	0.2175523327	0.9123998783
102	0.2172600556	0.9119943222
103	0.2170252452	0.9119943222
104	0.2168560737	0.9121971003
105	0.2166094204	0.9122984893
106	0.2162185527	0.9123998783
107	0.216065244	0.9126026564
108	0.2158116236	0.9126026564
109	0.2153295336	0.9128054345
110	0.2151320925	0.9126026564
111	0.2149772201	0.9125012674
112	0.2148226946	0.9127040454
113	0.2146316366	0.9128054345
114	0.214473522	0.9127040454
115	0.2143058386	0.9128054345
116	0.2140382697	0.9128054345
117	0.2137182014	0.9129068235
118	0.2135437258	0.9128054345
119	0.2133658545	0.9128054345
120	0.2131493371	0.9132109906
121	0.2129567897	0.9133123796
122	0.2126938763	0.9132109906
123	0.212355128	0.9139207138
124	0.2122187134	0.9139207138
125	0.2121377512	0.9139207138
126	0.2119878302	0.9137179357
127	0.2118691591	0.9139207138
128	0.2117435491	0.9138193247
129	0.211536727	0.9138193247
130	0.2113936348	0.9138193247
131	0.2111965073	0.9139207138
132	0.211028165	0.9143262699
133	0.2107656081	0.9139207138
134	0.210644382	0.9139207138
135	0.2104411437	0.9140221028
136	0.2103116676	0.9139207138
137	0.2099321754	0.9138193247
138	0.2097074256	0.9142248809
139	0.2095543776	0.9141234918
140	0.209496281	0.9140221028
141	0.2093548018	0.9141234918
142	0.2091570558	0.9143262699
143	0.2089114055	0.9140221028
144	0.2088250365	0.9143262699
145	0.2086037042	0.9143262699
146	0.2084412327	0.914731826
147	0.2083285643	0.9149346041
148	0.208119772	0.9143262699
149	0.2079515981	0.914630437
150	0.2078078434	0.914529048
151	0.2076986461	0.9144276589
152	0.2074055924	0.914731826
153	0.2073083201	0.914630437
154	0.2071503735	0.914529048
155	0.2070043674	0.914630437
156	0.2068370875	0.9150359931
157	0.2067275655	0.914833215
158	0.206492985	0.9151373821
159	0.2062555033	0.9154415492
160	0.2060923718	0.9154415492
161	0.2057634056	0.9152387712
162	0.2056836318	0.9152387712
163	0.2055269255	0.9152387712
164	0.2053388699	0.9157457163
165	0.205197724	0.9156443273
166	0.2051115045	0.9154415492
167	0.2049651512	0.9155429383
168	0.2048679154	0.9156443273
169	0.2047459611	0.9157457163
170	0.2046257885	0.9158471053
171	0.2044602106	0.9160498834
172	0.2042890217	0.9161512724
173	0.2041703958	0.9160498834
