iter	Logloss	Accuracy
0	0.6593306964	0.8951849975
1	0.6228143462	0.8924480487
2	0.5936207195	0.894880892
3	0.5675748897	0.8949822605
4	0.5351342239	0.8965027876
5	0.5126551816	0.894880892
6	0.4883002767	0.8980233147
7	0.4667987654	0.8988342625
8	0.4511683423	0.8979219463
9	0.435856089	0.8984287886
10	0.4212518781	0.8993411049
11	0.4062600742	0.899138368
12	0.3918004392	0.8994424734
13	0.3808369108	0.8995438419
14	0.3713629029	0.9006588951
15	0.362277985	0.9009630005
16	0.3533488215	0.9009630005
17	0.346020965	0.901064369
18	0.3382518122	0.9014698429
19	0.3323212823	0.9013684744
20	0.32623951	0.9013684744
21	0.319336717	0.9020780537
22	0.3141766442	0.9021794222
23	0.3081340727	0.9017739483
24	0.3019846775	0.9020780537
25	0.2974362014	0.9019766853
26	0.2933972459	0.9017739483
27	0.2906651134	0.9020780537
28	0.2870511279	0.9020780537
29	0.2818190952	0.9020780537
30	0.2768718053	0.90299037
31	0.2726503281	0.9031931069
32	0.2701462836	0.9032944754
33	0.2681792871	0.9033958439
34	0.2666676374	0.9026862646
35	0.2645396976	0.902787633
36	0.2620313765	0.9034972124
37	0.2603208703	0.9035985808
38	0.2581192854	0.9033958439
39	0.2562126597	0.9038013178
40	0.2546525131	0.9040040547
41	0.2527763671	0.9032944754
42	0.2514137161	0.9039026863
43	0.2503129787	0.9039026863
44	0.2484715006	0.9039026863
45	0.2470677332	0.9043081602
46	0.2459123367	0.9043081602
47	0.2453461088	0.904916371
48	0.2444855621	0.9047136341
49	0.2437108136	0.9046122656
50	0.2429340447	0.9054232134
51	0.2417979645	0.9053218449
52	0.2406028143	0.9053218449
53	0.2400148846	0.9060314242
54	0.2389401425	0.9056259503
55	0.2384604638	0.9064368981
56	0.2378864239	0.9069437405
57	0.237179655	0.906842372
58	0.2366859775	0.9065382666
59	0.2361351888	0.906842372
60	0.2353961159	0.9069437405
61	0.2348878717	0.9069437405
62	0.233695578	0.906842372
63	0.2328021181	0.907045109
64	0.2322390641	0.9073492144
65	0.2318255618	0.9074505829
66	0.2315739261	0.9077546883
67	0.2312129729	0.9082615307
68	0.2306444816	0.9080587937
69	0.2301701775	0.9083628991
70	0.2296596968	0.9085656361
71	0.2286913137	0.90897111
72	0.2285070673	0.9090724785
73	0.2280949794	0.9093765839
74	0.2273576476	0.9097820578
75	0.2269189133	0.9093765839
76	0.2264926979	0.9098834263
77	0.2262006549	0.9096806893
78	0.2255348159	0.9100861632
79	0.2253042709	0.9104916371
80	0.2250892264	0.9104916371
81	0.2247735593	0.910694374
82	0.2243805771	0.9109984795
83	0.22414428	0.9112012164
84	0.2236440415	0.9112012164
85	0.2233547749	0.9112012164
86	0.2231187956	0.9113025849
87	0.2227690097	0.9112012164
88	0.2224444436	0.9113025849
89	0.222230126	0.9114039534
90	0.2219798317	0.9120121642
91	0.2217118526	0.9120121642
92	0.2214884653	0.9118094273
93	0.2211565971	0.9120121642
94	0.22080197	0.9120121642
95	0.2204955319	0.9120121642
96	0.2201518596	0.9127217435
97	0.2198824578	0.9126203751
98	0.2195732118	0.9123162696
99	0.2189954091	0.9125190066
100	0.2185024469	0.912823112
101	0.218318164	0.9127217435
102	0.2180635912	0.9133299544
103	0.2179138136	0.9133299544
104	0.217730273	0.9132285859
105	0.2175124661	0.913025849
106	0.2166784126	0.913025849
107	0.2165359479	0.9131272174
108	0.216362246	0.9133299544
109	0.2160912397	0.9132285859
110	0.215923744	0.9133299544
111	0.2157525561	0.9133299544
112	0.215392065	0.9134313229
113	0.2148850321	0.9136340598
114	0.2144376104	0.9135326913
115	0.2142722723	0.9138367968
116	0.2140249738	0.9142422707
117	0.2139011492	0.9138367968
118	0.2137035485	0.9140395337
119	0.2135480027	0.9143436391
120	0.2133931703	0.9144450076
121	0.213209984	0.9146477446
122	0.2130633502	0.9146477446
123	0.2128195066	0.9150532184
124	0.212672833	0.9151545869
125	0.2122357248	0.9150532184
126	0.2120856008	0.9151545869
127	0.2119406328	0.9151545869
128	0.2117906637	0.9152559554
129	0.2115735211	0.9153573239
130	0.2114500927	0.9151545869
131	0.211105713	0.9151545869
132	0.2109269274	0.9146477446
133	0.2108227066	0.9146477446
134	0.2106662427	0.9146477446
135	0.2105116732	0.91495185
136	0.2103139603	0.91495185
137	0.2102065704	0.9153573239
138	0.2100093153	0.9152559554
139	0.2098401701	0.9152559554
140	0.2096305203	0.9152559554
141	0.2094718998	0.9156614293
142	0.209369029	0.9154586923
143	0.2091642868	0.9154586923
144	0.208975779	0.9158641662
145	0.2088204578	0.9155600608
146	0.2085272071	0.9158641662
147	0.2083196464	0.9157627978
148	0.2081427029	0.9157627978
149	0.2080202165	0.9159655347
150	0.2077625187	0.9159655347
151	0.207645423	0.9160669032
152	0.2072996026	0.9158641662
153	0.207166959	0.9158641662
154	0.2070011716	0.9158641662
155	0.2068476685	0.9162696401
156	0.2067654647	0.9162696401
157	0.2066645136	0.9160669032
158	0.2064829368	0.9162696401
159	0.2063557373	0.9164723771
160	0.2062060404	0.9162696401
161	0.2060355196	0.9163710086
162	0.2058823416	0.9165737456
163	0.2057007457	0.9165737456
164	0.2056117147	0.9164723771
165	0.2054893245	0.9164723771
166	0.2053655775	0.916675114
167	0.2052598838	0.9165737456
168	0.2049678678	0.9162696401
169	0.2048618931	0.9164723771
170	0.2046943052	0.9167764825
171	0.204565229	0.9169792195
172	0.2044595834	0.916877851
173	0.2043185175	0.916877851
174	0.2042135525	0.9170805879
175	0.2040813876	0.9170805879
176	0.2039869585	0.9169792195
177	0.2038503804	0.9169792195
178	0.2036630855	0.9171819564
179	0.2035003988	0.9170805879
180	0.2033717082	0.9170805879
181	0.2030789406	0.9170805879
182	0.2030059036	0.9169792195
183	0.2028933723	0.9170805879
184	0.20274741	0.9172833249
185	0.202686453	0.9173846934
186	0.2025343334	0.9171819564
187	0.2025133932	0.9171819564
188	0.2024331738	0.9171819564
189	0.2022941859	0.9172833249
190	0.2022520743	0.9172833249
191	0.2021470367	0.9172833249
192	0.2019664733	0.9172833249
193	0.2018489162	0.9175874303
194	0.2017517897	0.9174860618
195	0.2016056426	0.9176887988
196	0.201412729	0.9176887988
197	0.2013203638	0.9177901673
198	0.2012482102	0.9177901673
199	0.201120822	0.9177901673
200	0.2009977151	0.9177901673
201	0.2007102352	0.9177901673
202	0.2005876442	0.9179929042
203	0.2003025778	0.9178915357
204	0.2001238888	0.9180942727
205	0.1998919717	0.9181956412
206	0.1997524736	0.9181956412
207	0.1996599244	0.9182970096
208	0.1995860938	0.9183983781
209	0.1994889108	0.9183983781
210	0.1993636268	0.9184997466
211	0.1992454241	0.9187024835
212	0.1990961834	0.9187024835
213	0.1989956097	0.918803852
214	0.1988913507	0.9187024835
215	0.1987888005	0.919006589
216	0.1986496548	0.9195134313
217	0.1985114046	0.9197161683
218	0.1983747764	0.9196147998
219	0.1982534226	0.9197161683
220	0.1981836009	0.9197161683
221	0.198074843	0.9199189052
222	0.1979754323	0.9199189052
223	0.1979061464	0.9200202737
224	0.1977821059	0.9201216422
225	0.1976444652	0.9203243791
226	0.1975496589	0.9204257476
227	0.1972962567	0.9201216422
228	0.1972610965	0.9201216422
229	0.1970716901	0.9204257476
230	0.1969237422	0.9205271161
231	0.1967789183	0.9205271161
232	0.196681231	0.9206284845
233	0.1965292503	0.9206284845
234	0.1964234522	0.9206284845
235	0.196287065	0.9205271161
236	0.1961873886	0.9205271161
237	0.1961208779	0.9206284845
238	0.1960387352	0.9210339584
239	0.1959371619	0.92093259
240	0.1958693357	0.92093259
241	0.1957847278	0.92093259
242	0.1956763164	0.9211353269
243	0.1955759054	0.92093259
244	0.1955068552	0.9210339584
245	0.1954534985	0.9214394323
246	0.1953341408	0.9214394323
247	0.1953271415	0.9214394323
248	0.1950870744	0.9214394323
249	0.1949937892	0.9214394323
250	0.1948550733	0.9215408008
251	0.1948023765	0.9214394323
252	0.1946265207	0.9215408008
253	0.1944427003	0.9215408008
254	0.1943837786	0.9216421693
255	0.1942012373	0.9217435378
256	0.1941205702	0.9219462747
257	0.193990155	0.9221490117
258	0.1936799376	0.9221490117
259	0.1934892888	0.9225544856
260	0.1934183994	0.9227572225
261	0.1933359861	0.922655854
262	0.1931473362	0.922655854
263	0.193039097	0.922655854
264	0.1928580724	0.9224531171
265	0.192801261	0.9224531171
266	0.1926411801	0.9227572225
267	0.1925276018	0.922858591
268	0.1924206227	0.9230613279
269	0.192342379	0.9232640649
270	0.1921851449	0.9233654334
271	0.192065937	0.9237709072
272	0.1918978441	0.9237709072
273	0.1918218341	0.9236695388
274	0.191631497	0.9237709072
275	0.191402365	0.9235681703
276	0.1911871879	0.9237709072
277	0.1909740004	0.9241763811
278	0.1909181311	0.9241763811
279	0.190781152	0.9242777496
280	0.1905325695	0.9242777496
281	0.1903445519	0.924581855
282	0.1902213455	0.924581855
283	0.1900540559	0.9248859605
284	0.1899673097	0.9248859605
285	0.189850535	0.924784592
286	0.1897917156	0.924784592
287	0.1896887424	0.9248859605
288	0.1896110794	0.9250886974
289	0.1894603022	0.9251900659
290	0.1893319302	0.9252914344
291	0.1892574961	0.9254941713
292	0.1891816128	0.9254941713
293	0.1890953684	0.9254941713
294	0.1890218382	0.9255955398
295	0.1889395841	0.9255955398
296	0.1888511257	0.9257982767
297	0.1887063713	0.9258996452
298	0.1886108042	0.9260010137
299	0.1885132499	0.9262037506
300	0.1884260892	0.9262037506
301	0.1883368994	0.9263051191
302	0.1881376967	0.9263051191
303	0.1880692038	0.9266092245
304	0.1880124286	0.9268119615
305	0.1879125852	0.9266092245
306	0.1877871989	0.926710593
307	0.1876011597	0.92691333
308	0.1874883741	0.92691333
309	0.1873140291	0.9266092245
310	0.1871732982	0.9266092245
311	0.1870619732	0.9265078561
312	0.1870030306	0.9266092245
313	0.186949302	0.9266092245
314	0.1868414227	0.926710593
315	0.1867340581	0.9268119615
316	0.1865595071	0.9270146984
317	0.1864502871	0.9270146984
318	0.1863587562	0.9270146984
319	0.1862426552	0.92691333
320	0.1861114987	0.92691333
321	0.1860217465	0.9270146984
322	0.1859386366	0.9271160669
323	0.1857974969	0.9271160669
324	0.1856841569	0.9270146984
325	0.1855181366	0.9271160669
326	0.1854381757	0.9275215408
327	0.1852445621	0.9274201723
328	0.1851319618	0.9274201723
329	0.1850362415	0.9276229093
330	0.1849655656	0.9278256462
331	0.1847646822	0.9279270147
332	0.1847282806	0.9279270147
333	0.1846749653	0.9278256462
334	0.1845669854	0.9280283832
335	0.1843981756	0.9282311201
336	0.1842860583	0.9283324886
337	0.184169678	0.9283324886
338	0.184066491	0.9280283832
339	0.1839440436	0.9283324886
340	0.1838711849	0.9281297516
341	0.1837785772	0.9280283832
342	0.1836786184	0.9284338571
343	0.1835543726	0.928839331
344	0.1834186178	0.9289406994
345	0.1832694318	0.9289406994
346	0.1831281567	0.9290420679
347	0.1830152011	0.9289406994
348	0.1828501063	0.9289406994
349	0.1827644326	0.9289406994
