iter	Logloss	Accuracy
106	0.1990777657	0.9192748092
107	0.1988462102	0.9187977099
108	0.1986727979	0.9188931298
109	0.1984399098	0.9191793893
110	0.1982147026	0.9190839695
111	0.1980833437	0.9189885496
112	0.1979018305	0.9189885496
113	0.1977693695	0.919370229
114	0.1974274954	0.9200381679
115	0.1971915549	0.9200381679
116	0.1969782843	0.9200381679
117	0.1968245183	0.9204198473
118	0.1965763494	0.9202290076
119	0.1963349094	0.9200381679
120	0.1961884445	0.9203244275
121	0.1960203251	0.9203244275
122	0.1959161612	0.9204198473
123	0.1956060074	0.9203244275
124	0.1953737436	0.9205152672
125	0.1952380169	0.9207061069
126	0.1950529172	0.9210877863
127	0.194891254	0.9210877863
128	0.1947000164	0.9213740458
129	0.1945402953	0.9213740458
130	0.1943166161	0.9215648855
131	0.1941304258	0.9217557252
132	0.1939712451	0.9219465649
133	0.1937840094	0.9220419847
134	0.1936824969	0.9219465649
135	0.1933986376	0.9219465649
136	0.1932280818	0.9219465649
137	0.1931094484	0.9222328244
138	0.1928922124	0.9227099237
139	0.1926631617	0.9226145038
140	0.1925623764	0.9226145038
141	0.192193669	0.9229007634
142	0.1920699475	0.9229961832
143	0.191649683	0.9234732824
144	0.1913857754	0.9233778626
145	0.1911163876	0.9238549618
146	0.1907844503	0.9236641221
147	0.19064233	0.9239503817
148	0.1904178635	0.9242366412
149	0.1903158883	0.9241412214
150	0.1901406991	0.9240458015
151	0.1900232569	0.9240458015
152	0.1899293559	0.9241412214
153	0.1897744814	0.9242366412
154	0.1895838595	0.9240458015
155	0.1893953544	0.9240458015
156	0.1891198812	0.9241412214
157	0.1889257249	0.9245229008
158	0.188564271	0.9246183206
159	0.1883327523	0.9248091603
160	0.1880387012	0.9249045802
161	0.1876193553	0.9251908397
162	0.1873495463	0.9255725191
163	0.1871506676	0.9257633588
164	0.1869798262	0.9258587786
165	0.1867873814	0.9258587786
166	0.1864222978	0.9258587786
167	0.1862190985	0.9261450382
168	0.1859786581	0.926240458
169	0.185690245	0.9266221374
170	0.1854273403	0.9264312977
171	0.1852153747	0.9266221374
172	0.1849678446	0.9268129771
173	0.1847719836	0.9270038168
174	0.1844763132	0.9267175573
175	0.1843395422	0.9268129771
