iter	Logloss	Accuracy
0	0.6585451909	0.8962895377
1	0.6219641935	0.8933495539
2	0.5907985341	0.8973033252
3	0.5641128342	0.899026764
4	0.5315272813	0.8997364152
5	0.5060539618	0.9009529603
6	0.4855306778	0.9004460665
7	0.4639819332	0.9001419303
8	0.4435289442	0.9012570965
9	0.4283603933	0.9013584753
10	0.414251648	0.9012570965
11	0.3993975689	0.901459854
12	0.386143216	0.901459854
13	0.3749542796	0.9020681265
14	0.3664515789	0.9013584753
15	0.3572739357	0.901865369
16	0.3483870764	0.901865369
17	0.3411277771	0.902676399
18	0.33345747	0.9021695053
19	0.3272009386	0.9027777778
20	0.3212935504	0.9035888078
21	0.3135953524	0.903892944
22	0.3095648561	0.9045012165
23	0.3041555775	0.9043998378
24	0.2977548292	0.9037915653
25	0.292412486	0.904703974
26	0.2882398518	0.904298459
27	0.2846421096	0.9046025953
28	0.2818703496	0.9045012165
29	0.2785661898	0.9052108678
30	0.2745456992	0.9056163828
31	0.2702323616	0.9057177616
32	0.2666248459	0.9059205191
33	0.2648191363	0.9057177616
34	0.2632520174	0.9058191403
35	0.261232023	0.9063260341
36	0.2590856471	0.9059205191
37	0.255897604	0.9061232766
38	0.2539266054	0.9063260341
39	0.2528717765	0.9067315491
40	0.25139821	0.9068329278
41	0.2501556387	0.9070356853
42	0.2487058856	0.9067315491
43	0.247338361	0.9070356853
44	0.2457526376	0.9069343066
45	0.244354608	0.9070356853
46	0.2433427203	0.9070356853
47	0.2414745441	0.9069343066
48	0.2405273917	0.9066301703
49	0.2397041141	0.9069343066
50	0.2390537312	0.9067315491
51	0.2386006566	0.9069343066
52	0.2378249245	0.9072384428
53	0.2370842049	0.9078467153
54	0.2358293294	0.9076439578
55	0.2353707544	0.9080494728
56	0.2340555463	0.9083536091
57	0.2333713037	0.9077453366
58	0.2328620489	0.9078467153
59	0.2322364335	0.9078467153
60	0.231444101	0.9081508516
61	0.2311374898	0.9084549878
62	0.2300408628	0.9079480941
63	0.2293206899	0.9091646391
64	0.2287727126	0.9092660178
65	0.2284025801	0.9092660178
66	0.2278668059	0.9096715328
67	0.227548767	0.9097729116
68	0.2270361662	0.9099756691
69	0.2263269997	0.9101784266
70	0.2259775443	0.9098742903
71	0.2254371903	0.9102798054
72	0.2250836448	0.9098742903
73	0.2246744353	0.9106853204
74	0.2242354143	0.9105839416
75	0.2237749017	0.9106853204
76	0.2234828917	0.9107866991
77	0.2231063932	0.9106853204
78	0.2225960765	0.9112935929
79	0.2221121857	0.9118004866
80	0.2218635376	0.9122060016
81	0.2215602148	0.9126115166
82	0.2212232153	0.9130170316
83	0.2205111234	0.9128142741
84	0.2202309078	0.9128142741
85	0.2200470687	0.9129156529
86	0.2197424336	0.9131184104
87	0.2193578811	0.9136253041
88	0.2190268269	0.9134225466
89	0.218795554	0.9136253041
90	0.2185437304	0.9136253041
91	0.2182806969	0.9140308191
92	0.2180437981	0.9142335766
93	0.2177552901	0.9140308191
94	0.217402693	0.9142335766
95	0.2171305466	0.9144363341
96	0.2168637689	0.9145377129
97	0.2165967813	0.9143349554
98	0.2164077781	0.9143349554
99	0.2157054769	0.9145377129
100	0.2153733934	0.9144363341
101	0.2150068972	0.9145377129
102	0.2147717431	0.9141321979
103	0.2145662776	0.9145377129
104	0.2144339915	0.9145377129
105	0.2142642439	0.9146390916
106	0.2140369142	0.9147404704
107	0.2138062152	0.9147404704
108	0.2137479669	0.9146390916
109	0.2136022588	0.9147404704
110	0.2132571029	0.9152473642
111	0.2130374583	0.9151459854
112	0.2128358436	0.9153487429
113	0.2121150548	0.9157542579
114	0.2120400193	0.9157542579
115	0.2118533247	0.9159570154
116	0.2116324539	0.9157542579
117	0.2115273513	0.9159570154
118	0.2113618783	0.9159570154
119	0.2112560052	0.9163625304
120	0.2110657897	0.9162611517
121	0.2108586463	0.9165652879
122	0.2107503371	0.9167680454
123	0.2105989183	0.9169708029
124	0.2103403715	0.9169708029
125	0.2102550079	0.9169708029
126	0.2100304812	0.9171735604
127	0.2095714198	0.9172749392
128	0.2093161406	0.9174776967
129	0.2091141424	0.9173763179
130	0.2089364853	0.9171735604
131	0.2086662804	0.9177818329
132	0.2084366989	0.9175790754
133	0.2082732365	0.9175790754
134	0.2081430444	0.9173763179
135	0.2079395849	0.9179845904
136	0.2077585311	0.9179845904
137	0.2075695655	0.9181873479
138	0.2074466732	0.9177818329
139	0.20713862	0.9178832117
140	0.2069177849	0.9180859692
141	0.2067920164	0.9180859692
142	0.2065861585	0.9179845904
143	0.2063755552	0.9183901054
144	0.206317243	0.9184914842
145	0.206119274	0.9187956204
146	0.205771745	0.9186942417
147	0.2055565145	0.9188969992
148	0.2053589891	0.9190997567
149	0.2052028502	0.9193025142
150	0.2049963212	0.9194038929
151	0.2048912578	0.9194038929
152	0.204698858	0.9193025142
153	0.2045068173	0.9194038929
154	0.204422058	0.9194038929
155	0.2042843491	0.9193025142
156	0.2040694873	0.9195052717
157	0.2039412007	0.9195052717
158	0.2037711576	0.9193025142
159	0.2034331831	0.9192011354
160	0.2032025631	0.9196066504
161	0.2028208675	0.9194038929
162	0.2026520525	0.9195052717
163	0.2024845134	0.9196066504
164	0.2023198647	0.9194038929
165	0.2020514469	0.9193025142
166	0.2019615464	0.9193025142
167	0.2018363372	0.9196066504
168	0.2016977434	0.9196066504
169	0.2016088371	0.9195052717
170	0.2014063479	0.9199107867
171	0.2013008059	0.9199107867
172	0.2011194268	0.9200121655
173	0.200888061	0.9201135442
174	0.20069029	0.920214923
175	0.2005217808	0.9203163017
176	0.2002872888	0.920620438
177	0.2001847245	0.9207218167
178	0.1999986534	0.9209245742
179	0.1998186785	0.9207218167
180	0.1997557339	0.9207218167
181	0.1996703098	0.9209245742
182	0.199530936	0.9208231955
183	0.1993445233	0.921025953
184	0.1991913532	0.9207218167
185	0.1991208591	0.921025953
186	0.1989826108	0.9211273317
187	0.1989394773	0.9211273317
188	0.1988367876	0.9213300892
189	0.1986842174	0.9211273317
190	0.1985369905	0.9209245742
191	0.1983935063	0.9209245742
192	0.1982111229	0.9208231955
193	0.1979918029	0.9205190592
194	0.1979342945	0.920620438
195	0.1977785326	0.920620438
196	0.197673184	0.9209245742
197	0.1975505008	0.9208231955
198	0.1973962963	0.9212287105
199	0.1972878631	0.921025953
200	0.1971814949	0.921025953
201	0.1970202475	0.9212287105
202	0.1969472898	0.9211273317
203	0.1967291657	0.921025953
204	0.1966089669	0.921025953
205	0.1964169597	0.9212287105
206	0.1963301653	0.9213300892
207	0.1962239209	0.9215328467
208	0.1960821933	0.9217356042
209	0.1959495131	0.9217356042
210	0.195831863	0.9215328467
211	0.1957044163	0.9217356042
212	0.1956041766	0.9217356042
213	0.195487271	0.921836983
214	0.1953599137	0.9219383617
215	0.1952243629	0.9216342255
216	0.1951211884	0.9219383617
217	0.195056045	0.921836983
218	0.1949957369	0.9219383617
219	0.1948283961	0.9220397405
220	0.1947470402	0.9219383617
221	0.1946188348	0.921836983
222	0.1945394038	0.9217356042
223	0.1943887721	0.9217356042
224	0.1943099856	0.9219383617
225	0.1942028241	0.9220397405
226	0.1939210182	0.922242498
227	0.1936540501	0.9224452555
228	0.1934215191	0.9221411192
229	0.1932656402	0.922242498
230	0.1931611538	0.922242498
231	0.1930111741	0.9221411192
232	0.1929462187	0.9223438767
233	0.1927944463	0.922648013
234	0.1926090146	0.9227493917
235	0.1924393855	0.9229521492
236	0.19230534	0.923053528
237	0.1921401152	0.9232562855
238	0.1920042554	0.9232562855
239	0.1918717008	0.9235604217
240	0.1916837938	0.9236618005
241	0.1915782383	0.9235604217
242	0.1914893742	0.9237631792
243	0.1913614094	0.9240673155
244	0.1911777662	0.9241686942
245	0.1910894485	0.9241686942
