iter	Passed	Remaining
0	3	3127
1	6	3009
2	9	3029
3	12	3155
4	15	3154
5	18	3118
6	21	3077
7	24	3059
8	28	3110
9	32	3241
10	35	3213
11	39	3270
12	44	3375
13	48	3386
14	51	3386
15	54	3378
16	58	3393
17	62	3396
18	66	3411
19	69	3381
20	72	3381
21	76	3402
22	80	3417
23	83	3393
24	87	3422
25	92	3449
26	95	3453
27	98	3433
28	102	3420
29	106	3430
30	110	3448
31	113	3425
32	116	3423
33	120	3421
34	124	3419
35	127	3413
36	130	3399
37	134	3403
38	138	3415
39	142	3417
40	145	3408
41	149	3405
42	153	3419
43	159	3462
44	163	3471
45	167	3465
46	170	3450
47	174	3456
48	177	3446
49	181	3457
50	185	3448
51	189	3455
52	193	3449
53	197	3451
54	200	3440
55	203	3434
56	208	3447
57	212	3449
58	215	3435
59	219	3433
60	223	3444
61	227	3437
62	231	3443
63	235	3437
64	238	3432
65	242	3432
66	246	3427
67	249	3425
68	254	3433
69	257	3427
70	262	3432
71	266	3432
72	270	3438
73	275	3442
74	279	3442
75	284	3456
76	289	3466
77	293	3473
78	298	3482
79	302	3482
80	307	3489
81	310	3480
82	314	3476
83	318	3478
84	323	3486
85	328	3491
86	332	3490
87	336	3486
88	340	3484
89	344	3482
90	348	3476
91	352	3482
92	357	3483
93	361	3483
94	365	3477
95	369	3483
96	374	3483
97	378	3482
98	383	3494
99	389	3507
100	394	3507
101	399	3515
102	408	3555
103	411	3546
104	415	3541
105	419	3538
106	422	3527
107	426	3520
108	429	3514
109	434	3513
110	438	3508
111	441	3500
112	445	3499
113	452	3517
114	457	3521
115	461	3514
116	465	3510
117	468	3499
118	471	3490
119	475	3485
120	478	3475
121	481	3466
122	485	3462
123	489	3454
124	492	3450
125	497	3449
126	500	3440
127	504	3433
128	508	3430
129	511	3420
130	515	3417
131	518	3411
132	523	3414
133	527	3409
134	532	3411
135	536	3407
136	539	3399
137	543	3393
138	546	3384
139	549	3375
140	553	3370
141	556	3361
142	559	3352
143	562	3345
144	565	3336
145	569	3330
146	573	3326
147	576	3320
148	580	3314
149	583	3306
150	586	3298
151	589	3291
152	594	3288
153	597	3280
154	600	3272
155	603	3264
156	607	3259
157	610	3255
158	614	3247
159	617	3240
160	620	3234
161	623	3226
162	627	3221
163	631	3217
164	634	3211
165	637	3203
166	641	3198
167	644	3192
168	647	3184
169	651	3179
170	654	3172
171	657	3165
172	661	3162
173	664	3156
174	668	3149
175	671	3144
176	675	3139
177	678	3132
178	681	3125
179	684	3120
180	687	3112
181	691	3107
182	694	3100
183	697	3092
184	700	3086
185	704	3080
186	707	3075
187	710	3069
188	714	3064
189	717	3059
190	720	3052
191	724	3048
192	727	3043
193	731	3037
194	734	3031
195	737	3027
196	742	3024
197	745	3017
198	749	3015
199	752	3010
200	755	3004
201	759	2999
202	762	2994
203	765	2988
204	769	2985
205	775	2990
206	779	2984
207	782	2978
208	786	2974
209	789	2971
210	793	2966
211	796	2961
212	800	2956
213	803	2951
214	808	2952
215	811	2947
216	815	2942
217	818	2936
218	822	2932
219	826	2928
220	829	2923
221	832	2918
222	835	2912
223	839	2908
224	842	2902
225	846	2899
226	849	2893
227	852	2887
228	856	2883
229	859	2879
230	863	2875
231	867	2870
232	870	2866
233	874	2862
234	878	2858
235	882	2855
236	886	2854
237	889	2848
238	893	2846
239	899	2848
240	905	2853
241	909	2849
242	913	2845
243	916	2838
244	920	2838
245	925	2836
246	928	2831
247	932	2826
248	935	2821
249	939	2817
250	942	2813
251	945	2807
252	949	2802
253	952	2797
254	956	2794
255	959	2789
256	963	2785
257	966	2780
258	969	2775
259	973	2770
260	976	2765
261	979	2759
262	983	2756
263	986	2750
264	989	2744
265	993	2740
266	996	2736
267	1000	2731
