iter	Logloss	Accuracy
0	0.6588999911	0.8968068931
1	0.6222727109	0.8933603649
2	0.5922722174	0.8982260517
3	0.5657045148	0.8973137354
4	0.5329950101	0.8983274202
5	0.5100061653	0.898935631
6	0.4850261164	0.8998479473
7	0.4635778027	0.9012671059
8	0.4481378025	0.9021794222
9	0.4326366493	0.900861632
10	0.4165506404	0.9025848961
11	0.4014263334	0.9022807907
12	0.3879024768	0.9026862646
13	0.376500138	0.9034972124
14	0.3679155661	0.902787633
15	0.3582324717	0.9033958439
16	0.3489801511	0.9038013178
17	0.3410577732	0.9039026863
18	0.3338223684	0.9042067917
19	0.3274369389	0.9046122656
20	0.3194691542	0.9040040547
21	0.3130911492	0.904916371
22	0.3078779283	0.9054232134
23	0.3028848845	0.9050177395
24	0.2964640583	0.9060314242
25	0.2920163225	0.9064368981
26	0.2877378465	0.9061327927
27	0.2849247264	0.9059300558
28	0.2811350423	0.9061327927
29	0.2760371419	0.9058286873
30	0.2717200048	0.9061327927
31	0.2676315574	0.9057273188
32	0.2643708122	0.9061327927
33	0.2620893543	0.9062341612
34	0.2606147245	0.9064368981
35	0.2586793841	0.9062341612
36	0.2574303298	0.906842372
37	0.2557771177	0.9069437405
38	0.2536093251	0.9076533198
39	0.252554356	0.9075519513
40	0.2511098553	0.9076533198
41	0.2496120507	0.9080587937
42	0.2480845214	0.9079574252
43	0.2463887754	0.9076533198
44	0.2445326417	0.9074505829
45	0.2436219314	0.9079574252
46	0.2424996543	0.9079574252
47	0.2414814078	0.9081601622
48	0.2404718994	0.9081601622
49	0.239660439	0.9078560568
50	0.2388060829	0.9078560568
51	0.2380033113	0.9082615307
52	0.2365224987	0.9085656361
53	0.2360208321	0.9090724785
54	0.2349044334	0.9092752154
55	0.2344884686	0.9092752154
56	0.2333520642	0.9093765839
57	0.2322463602	0.9093765839
58	0.2313906245	0.9091738469
59	0.2308591077	0.9092752154
60	0.229116474	0.9096806893
61	0.2286773483	0.9098834263
62	0.2283138803	0.9098834263
63	0.2278582791	0.9103902686
64	0.227527944	0.9098834263
65	0.2272319002	0.9099847947
66	0.2261502838	0.9102889002
67	0.2258164671	0.9100861632
68	0.2253736549	0.9103902686
69	0.224964875	0.9105930056
70	0.2245607212	0.9112012164
71	0.2242704326	0.910694374
72	0.2238957518	0.910897111
73	0.2235127965	0.9110998479
74	0.2231498468	0.9109984795
75	0.2226706243	0.9107957425
76	0.2219347127	0.9117080588
77	0.2215249902	0.9118094273
78	0.2209770801	0.9119107957
79	0.2206938437	0.9121135327
80	0.2204639986	0.9122149012
81	0.2200996042	0.9123162696
82	0.2198230708	0.9123162696
83	0.2195868642	0.912823112
84	0.2190759642	0.913025849
85	0.2188728715	0.913025849
86	0.2185681467	0.913025849
87	0.2182288436	0.9131272174
88	0.2177248413	0.9131272174
89	0.217363253	0.9132285859
90	0.2171437758	0.9136340598
