iter	Passed	Remaining
0	3	3400
1	6	3158
2	9	3064
3	12	3025
4	15	3041
5	18	3038
6	21	3018
7	24	3001
8	27	3010
9	31	3134
10	35	3146
11	38	3173
12	41	3177
13	45	3177
14	49	3229
15	52	3203
16	55	3224
17	59	3220
18	62	3204
19	66	3235
20	69	3234
21	72	3244
22	75	3223
23	79	3234
24	83	3243
25	86	3235
26	89	3225
27	92	3220
28	96	3222
29	99	3208
30	102	3217
31	106	3213
32	109	3200
33	112	3205
34	115	3192
35	118	3182
36	122	3186
37	125	3177
38	128	3175
39	132	3177
40	137	3212
41	142	3240
42	146	3251
43	149	3258
44	153	3254
45	156	3252
46	160	3261
47	164	3257
48	167	3248
49	170	3246
50	174	3237
51	177	3239
52	181	3249
53	184	3239
54	187	3229
55	191	3236
56	195	3238
57	200	3263
58	206	3286
59	209	3287
60	213	3281
61	216	3274
62	220	3275
63	223	3270
64	226	3264
65	230	3260
66	233	3252
67	236	3243
68	240	3242
69	245	3255
70	248	3249
71	251	3240
72	254	3233
73	258	3236
74	261	3229
75	264	3220
76	268	3219
77	271	3209
78	275	3207
79	279	3210
80	282	3206
81	285	3197
82	289	3193
83	292	3190
84	295	3182
85	299	3179
86	302	3172
87	305	3164
88	309	3163
89	312	3160
90	315	3152
91	319	3149
92	322	3145
93	325	3140
94	328	3132
95	332	3128
96	335	3120
97	339	3124
98	343	3121
99	346	3118
100	349	3110
101	352	3107
102	358	3117
103	361	3113
104	365	3113
105	368	3106
106	373	3116
107	377	3117
108	380	3113
109	385	3121
110	394	3156
111	399	3167
112	402	3162
113	407	3166
114	410	3159
115	414	3158
116	417	3152
117	421	3152
118	425	3147
119	428	3144
120	432	3144
121	438	3157
122	442	3154
123	447	3159
124	450	3154
125	455	3157
126	458	3152
127	461	3144
128	465	3141
129	468	3138
130	471	3130
131	475	3129
132	479	3123
133	482	3118
134	485	3111
135	489	3109
136	493	3109
137	496	3103
138	499	3096
139	504	3096
140	508	3096
141	513	3101
142	517	3100
143	522	3105
144	525	3100
145	530	3100
146	534	3101
147	538	3101
148	542	3100
149	547	3100
150	553	3112
151	560	3124
152	568	3147
153	580	3186
154	586	3197
155	593	3210
156	599	3221
157	607	3236
158	614	3252
159	622	3270
160	628	3274
161	634	3280
162	640	3287
163	644	3286
164	649	3286
165	652	3279
166	655	3271
167	659	3264
168	663	3260
169	667	3257
170	670	3252
171	674	3246
172	678	3245
173	687	3261
174	693	3271
175	698	3271
176	702	3264
177	705	3256
178	709	3256
179	713	3250
180	716	3242
181	719	3234
182	723	3228
183	726	3223
184	730	3216
185	733	3208
186	736	3201
187	739	3194
188	742	3187
189	746	3182
190	749	3174
191	752	3167
192	756	3163
193	759	3155
194	763	3150
195	767	3146
196	770	3142
197	774	3138
198	778	3133
199	781	3127
200	785	3123
201	789	3118
202	792	3111
203	796	3106
204	799	3099
205	803	3098
206	807	3092
207	811	3091
208	815	3087
209	819	3082
210	822	3075
211	826	3071
212	830	3067
213	833	3062
214	837	3056
215	840	3050
216	844	3047
217	848	3043
218	851	3037
219	855	3031
220	858	3025
221	861	3019
222	866	3020
223	869	3013
224	873	3008
225	877	3005
226	880	2998
227	884	2993
228	887	2987
229	890	2980
230	894	2977
231	897	2972
232	900	2965
233	904	2960
234	907	2955
235	912	2952
236	914	2945
237	918	2939
238	922	2935
239	925	2931
240	928	2925
241	932	2921
242	936	2916
243	939	2911
244	943	2906
245	946	2901
246	949	2894
247	952	2889
248	956	2885
249	960	2880
250	963	2875
251	966	2870
252	970	2864
253	973	2858
254	976	2854
255	980	2850
256	983	2844
257	987	2839
258	990	2834
259	993	2828
260	996	2822
261	1000	2818
262	1004	2814
263	1007	2809
264	1011	2804
265	1014	2799
266	1017	2794
267	1021	2789
268	1024	2784
269	1027	2778
270	1031	2774
271	1035	2770
272	1038	2766
273	1042	2760
274	1045	2755
275	1048	2751
276	1051	2745
277	1055	2740
278	1059	2738
279	1063	2733
280	1066	2728
281	1070	2724
282	1073	2720
283	1077	2716
284	1080	2711
285	1084	2706
286	1087	2702
287	1090	2696
288	1094	2692
289	1098	2689
290	1101	2684
291	1106	2682
292	1109	2678
293	1113	2672
294	1116	2669
295	1120	2665
296	1124	2660
297	1127	2656
298	1131	2651
299	1134	2646
300	1138	2643
301	1141	2639
302	1144	2633
303	1148	2628
304	1151	2624
305	1155	2621
306	1160	2620
307	1164	2616
308	1168	2614
309	1172	2609
310	1176	2605
311	1179	2600
312	1182	2595
313	1188	2596
314	1191	2591
315	1195	2588
316	1199	2583
317	1203	2580
318	1206	2575
319	1209	2570
320	1212	2565
321	1216	2561
322	1219	2556
323	1223	2552
324	1226	2547
325	1229	2542
326	1234	2540
327	1238	2538
328	1242	2533
329	1245	2529
330	1250	2526
331	1254	2523
332	1257	2518
333	1260	2513
334	1264	2510
335	1268	2506
336	1271	2501
337	1274	2496
338	1278	2493
339	1282	2489
340	1285	2485
341	1288	2479
342	1292	2476
343	1297	2473
344	1300	2469
345	1303	2464
346	1307	2459
347	1310	2455
348	1315	2454
349	1318	2449
350	1322	2445
351	1325	2440
352	1328	2435
353	1334	2434
354	1337	2430
355	1341	2426
356	1344	2422
357	1349	2419
358	1352	2415
359	1356	2411
360	1361	2409
361	1365	2406
362	1368	2401
363	1371	2396
364	1374	2391
365	1379	2389
366	1382	2384
367	1386	2380
368	1389	2376
369	1393	2372
370	1396	2368
371	1400	2364
372	1404	2360
373	1407	2355
374	1412	2353
375	1415	2349
376	1420	2348
377	1424	2344
378	1429	2341
379	1432	2337
380	1436	2333
381	1439	2329
382	1443	2325
383	1447	2321
384	1450	2317
385	1453	2312
386	1458	2309
387	1462	2306
388	1465	2301
389	1469	2298
390	1473	2294
391	1477	2291
392	1481	2287
393	1484	2282
394	1487	2279
395	1491	2274
396	1495	2270
397	1498	2266
398	1501	2262
399	1505	2258
400	1509	2255
401	1513	2250
402	1516	2246
403	1520	2243
404	1524	2239
405	1529	2237
406	1532	2232
407	1536	2228
408	1539	2224
409	1543	2221
410	1547	2217
411	1551	2214
412	1555	2211
413	1561	2209
414	1565	2206
415	1569	2203
416	1574	2201
417	1578	2197
418	1581	2192
419	1585	2189
420	1589	2185
421	1594	2184
422	1598	2180
423	1601	2176
424	1607	2174
425	1610	2169
426	1614	2166
427	1618	2163
428	1622	2159
429	1626	2155
430	1629	2151
431	1633	2147
432	1636	2143
433	1640	2139
434	1644	2135
435	1647	2131
436	1653	2129
437	1660	2130
438	1665	2127
439	1669	2124
440	1674	2122
441	1677	2117
442	1682	2115
443	1685	2110
444	1691	2109
445	1695	2105
446	1699	2102
447	1703	2099
448	1708	2097
449	1712	2093
450	1717	2090
451	1721	2087
452	1726	2085
453	1731	2082
454	1736	2079
455	1740	2075
456	1744	2072
457	1748	2068
458	1753	2066
459	1758	2064
460	1762	2061
461	1767	2058
462	1771	2054
463	1776	2051
464	1779	2047
465	1785	2045
466	1791	2045
467	1795	2040
468	1799	2037
469	1803	2033
470	1807	2030
471	1810	2025
472	1814	2021
473	1819	2018
474	1823	2014
475	1826	2010
476	1829	2006
477	1832	2001
478	1836	1997
479	1840	1993
480	1843	1989
481	1847	1985
482	1851	1981
483	1854	1976
484	1858	1972
485	1861	1968
486	1864	1963
487	1868	1960
488	1871	1956
489	1875	1951
490	1878	1947
491	1881	1943
492	1885	1939
493	1888	1934
494	1891	1930
495	1895	1926
496	1899	1921
497	1902	1917
498	1905	1913
499	1908	1908
500	1912	1904
501	1915	1900
502	1919	1896
503	1923	1893
504	1927	1889
505	1932	1886
506	1936	1882
507	1942	1880
508	1945	1876
509	1950	1873
510	1954	1870
511	1957	1865
512	1960	1861
513	1964	1857
514	1968	1853
515	1971	1848
516	1974	1844
517	1978	1840
518	1981	1836
519	1985	1832
520	1988	1828
521	1991	1823
522	1995	1820
523	1998	1815
524	2002	1811
525	2005	1807
526	2009	1803
527	2013	1799
528	2016	1795
529	2019	1790
530	2023	1787
531	2026	1782
532	2030	1778
533	2034	1775
534	2037	1770
535	2040	1766
536	2044	1762
537	2048	1758
538	2051	1754
539	2054	1750
540	2058	1746
541	2061	1742
542	2064	1737
543	2068	1733
544	2072	1730
545	2077	1727
546	2081	1723
547	2084	1719
548	2087	1715
549	2091	1711
550	2095	1707
551	2099	1703
552	2102	1699
553	2106	1695
554	2110	1692
555	2113	1687
556	2116	1683
557	2120	1679
558	2124	1676
559	2127	1671
560	2131	1667
561	2134	1663
562	2137	1659
563	2141	1655
564	2145	1651
565	2148	1647
566	2152	1643
567	2155	1639
568	2159	1635
569	2162	1631
570	2165	1627
571	2169	1623
572	2172	1619
573	2176	1615
574	2179	1611
575	2183	1607
576	2186	1603
577	2190	1599
578	2193	1594
579	2196	1590
580	2199	1586
581	2203	1582
582	2206	1578
583	2210	1574
584	2214	1570
585	2217	1566
586	2220	1562
587	2224	1558
588	2230	1556
589	2233	1551
590	2236	1548
591	2240	1543
592	2243	1540
593	2248	1536
594	2251	1532
595	2254	1528
596	2258	1524
597	2261	1520
598	2264	1516
599	2268	1512
600	2272	1508
601	2275	1504
602	2278	1500
603	2281	1496
604	2285	1491
605	2289	1488
606	2292	1484
607	2295	1480
608	2298	1475
609	2301	1471
610	2306	1468
611	2309	1464
612	2312	1459
613	2316	1456
614	2319	1452
615	2323	1448
616	2327	1444
617	2330	1440
618	2334	1436
619	2341	1435
620	2346	1431
621	2349	1427
622	2352	1423
623	2356	1419
624	2359	1415
625	2362	1411
626	2366	1407
627	2370	1403
628	2373	1399
629	2376	1395
630	2379	1391
631	2383	1387
632	2386	1383
633	2389	1379
634	2393	1375
635	2397	1372
636	2402	1369
637	2405	1364
638	2409	1360
639	2412	1357
640	2416	1353
641	2419	1349
642	2423	1345
643	2426	1341
644	2431	1338
645	2435	1334
646	2438	1330
647	2442	1326
648	2445	1322
649	2448	1318
650	2452	1314
651	2455	1310
652	2458	1306
653	2462	1302
654	2465	1298
655	2468	1294
656	2472	1290
657	2476	1286
658	2479	1282
659	2482	1279
660	2486	1275
661	2489	1270
662	2492	1266
663	2495	1262
664	2498	1258
665	2502	1254
666	2505	1250
667	2508	1246
668	2512	1242
669	2515	1239
670	2518	1235
671	2522	1231
672	2525	1227
673	2529	1223
674	2532	1219
675	2536	1215
676	2540	1211
677	2543	1207
678	2546	1203
679	2551	1200
680	2555	1196
681	2558	1193
682	2561	1189
683	2565	1185
684	2569	1181
685	2573	1177
686	2576	1173
687	2580	1170
688	2584	1166
689	2588	1162
690	2591	1158
691	2594	1154
692	2599	1151
693	2602	1147
694	2606	1143
695	2609	1139
696	2612	1135
697	2616	1131
698	2619	1127
699	2622	1124
700	2626	1120
701	2630	1116
702	2635	1113
703	2640	1110
704	2644	1106
705	2648	1103
706	2653	1099
707	2657	1095
708	2661	1092
709	2664	1088
710	2668	1084
711	2671	1080
712	2675	1076
713	2679	1073
714	2682	1069
715	2686	1065
716	2689	1061
717	2692	1057
718	2696	1054
719	2700	1050
720	2703	1046
721	2706	1042
722	2710	1038
723	2713	1034
724	2717	1030
725	2721	1027
726	2725	1023
727	2730	1020
728	2735	1016
729	2739	1013
730	2742	1009
731	2746	1005
732	2749	1001
733	2752	997
734	2756	993
735	2760	990
736	2763	986
737	2766	982
738	2769	978
739	2773	974
740	2777	970
741	2780	966
742	2784	963
743	2787	959
744	2790	955
745	2794	951
746	2798	947
747	2801	943
748	2805	939
749	2808	936
750	2812	932
751	2815	928
752	2818	924
753	2822	920
754	2826	917
755	2829	913
756	2832	909
757	2835	905
758	2838	901
759	2842	897
760	2846	893
761	2849	889
762	2853	886
763	2856	882
764	2860	878
765	2863	874
766	2866	870
767	2870	867
768	2874	863
769	2877	859
770	2880	855
771	2883	851
772	2886	847
773	2890	844
774	2894	840
775	2897	836
776	2900	832
777	2904	828
778	2907	824
779	2911	821
780	2915	817
781	2918	813
782	2921	809
783	2924	805
784	2928	802
785	2931	798
786	2935	794
787	2939	790
788	2942	786
789	2945	783
790	2949	779
791	2952	775
792	2956	771
793	2959	767
794	2962	763
795	2966	760
796	2970	756
797	2973	752
798	2977	748
799	2980	745
800	2983	741
801	2987	737
802	2991	733
803	2994	729
804	2999	726
805	3004	723
806	3008	719
807	3011	715
808	3014	711
809	3017	707
810	3021	704
811	3025	700
812	3028	696
813	3031	692
814	3035	688
815	3038	685
816	3041	681
817	3045	677
818	3048	673
819	3051	669
820	3055	666
821	3060	662
822	3063	658
823	3068	655
824	3071	651
825	3075	647
826	3078	643
827	3081	640
828	3085	636
829	3089	632
830	3092	628
831	3095	625
832	3098	621
833	3102	617
834	3107	614
835	3110	610
836	3114	606
837	3118	602
838	3121	598
839	3125	595
840	3128	591
841	3131	587
842	3135	584
843	3138	580
844	3141	576
845	3145	572
846	3149	568
847	3153	565
848	3156	561
849	3159	557
850	3162	553
851	3166	550
852	3169	546
853	3173	542
854	3176	538
855	3179	534
856	3182	531
857	3186	527
858	3189	523
859	3192	519
860	3195	515
861	3199	512
862	3203	508
863	3206	504
864	3209	500
865	3213	497
866	3217	493
867	3220	489
868	3223	486
869	3228	482
870	3232	478
871	3235	474
872	3238	471
873	3243	467
874	3247	463
875	3250	460
876	3253	456
877	3256	452
878	3260	448
879	3263	445
880	3267	441
881	3270	437
882	3274	433
883	3277	430
884	3281	426
885	3284	422
886	3287	418
887	3290	415
888	3294	411
889	3297	407
890	3301	403
891	3304	400
892	3307	396
893	3311	392
894	3317	389
895	3322	385
896	3326	381
897	3331	378
898	3334	374
899	3337	370
900	3341	367
901	3345	363
902	3349	359
903	3358	356
904	3375	354
905	3382	350
906	3388	347
907	3392	343
908	3395	339
909	3399	336
910	3402	332
911	3405	328
912	3409	324
913	3412	321
914	3415	317
915	3419	313
916	3422	309
917	3425	305
918	3428	302
919	3431	298
920	3434	294
921	3438	290
922	3442	287
923	3445	283
924	3448	279
925	3452	275
926	3456	272
927	3459	268
928	3462	264
929	3466	260
930	3469	257
931	3472	253
932	3476	249
933	3479	245
934	3482	242
935	3487	238
936	3492	234
937	3496	231
938	3500	227
939	3503	223
940	3506	219
941	3510	216
942	3513	212
943	3519	208
944	3522	204
945	3526	201
946	3529	197
947	3534	193
948	3539	190
949	3543	186
950	3546	182
951	3549	178
952	3553	175
953	3557	171
954	3560	167
955	3564	164
956	3567	160
957	3570	156
958	3574	152
959	3577	149
960	3582	145
961	3586	141
962	3589	137
963	3593	134
964	3596	130
965	3599	126
966	3604	123
967	3609	119
968	3614	115
969	3618	111
970	3621	108
971	3625	104
972	3628	100
973	3632	96
974	3635	93
975	3639	89
976	3643	85
977	3647	82
978	3650	78
979	3653	74
980	3657	70
981	3660	67
982	3663	63
983	3667	59
984	3671	55
985	3674	52
986	3677	48
987	3681	44
988	3684	40
989	3688	37
990	3691	33
991	3695	29
992	3698	26
993	3701	22
994	3705	18
995	3708	14
996	3711	11
997	3715	7
998	3718	3
999	3722	0
