iter	Passed	Remaining
0	3	3328
1	6	3103
2	9	3177
3	12	3200
4	17	3410
5	20	3408
6	24	3472
7	28	3551
8	38	4219
9	47	4721
10	50	4583
11	53	4440
12	58	4441
13	61	4345
14	64	4262
15	68	4221
16	72	4192
17	76	4187
18	80	4132
19	83	4067
20	86	4031
21	89	3995
22	92	3945
23	96	3922
24	99	3881
25	102	3837
26	106	3822
27	109	3796
28	112	3764
29	116	3758
30	119	3734
31	122	3718
32	126	3711
33	130	3695
34	132	3666
35	137	3679
36	140	3658
37	143	3639
38	146	3618
39	150	3610
40	154	3609
41	157	3589
42	160	3570
43	164	3567
44	167	3547
45	170	3539
46	174	3546
47	177	3529
48	181	3513
49	184	3511
50	188	3509
51	191	3492
52	196	3513
53	201	3522
54	205	3534
55	209	3526
56	213	3528
57	216	3521
58	220	3511
59	223	3502
60	227	3498
61	230	3483
62	233	3475
63	236	3466
64	239	3451
65	243	3445
66	246	3435
67	249	3423
68	254	3429
69	257	3421
70	260	3409
71	263	3401
72	267	3398
73	271	3391
74	274	3383
75	277	3373
76	280	3365
77	284	3358
78	287	3351
79	290	3344
80	294	3337
81	297	3330
82	301	3325
83	304	3325
84	308	3316
85	312	3316
86	315	3309
87	319	3314
88	322	3305
89	326	3298
90	329	3292
91	332	3285
92	336	3279
93	339	3274
94	342	3264
95	345	3256
96	349	3255
97	352	3247
98	355	3239
99	359	3235
100	362	3226
101	365	3221
102	369	3218
103	372	3211
104	375	3203
105	379	3203
106	383	3201
107	386	3195
108	390	3190
109	394	3189
110	401	3212
111	404	3204
112	407	3195
113	410	3187
114	413	3182
115	416	3176
116	419	3167
117	422	3160
118	426	3156
119	431	3161
120	434	3154
121	437	3149
122	441	3145
123	444	3138
124	449	3143
125	452	3139
126	456	3136
127	459	3128
128	462	3125
129	466	3121
130	469	3116
131	472	3108
132	476	3105
133	479	3098
134	482	3090
135	486	3089
136	489	3083
137	492	3076
138	496	3073
139	499	3066
140	502	3060
141	506	3058
142	509	3053
143	512	3047
144	516	3043
145	519	3039
146	522	3032
147	526	3031
148	530	3027
149	534	3026
150	537	3020
151	540	3015
152	544	3017
153	548	3013
154	551	3006
155	554	3001
156	558	2996
157	561	2990
158	565	2989
159	568	2984
160	571	2977
161	574	2973
162	578	2968
163	581	2962
164	584	2959
165	588	2954
166	591	2949
167	595	2948
168	599	2947
169	602	2943
170	605	2937
171	609	2933
172	612	2928
173	615	2923
174	619	2918
175	622	2915
176	626	2911
177	629	2906
178	632	2900
179	635	2897
180	638	2891
181	643	2890
182	646	2886
183	649	2880
184	652	2876
185	656	2874
186	660	2870
187	663	2865
188	666	2861
189	670	2858
190	675	2860
191	678	2856
